title,directions,Ingridents,link
Chicory Salad With Creamy Garlic Dressing,"[""Place bread cubes in a bowl; drizzle oil over the bread cubes, tossing well. Arrange bread cubes in single layer on a baking sheet. Bake at 400\u00b0 for 8 minutes or until golden. Let cool."", ""Place cottage cheese in food processor, and process 2 minutes or until smooth, scraping sides of bowl once. Add the pepper and next 4 ingredients; process until well-blended. Spoon mixture into a bowl; set aside."", ""Combine the chicory, romaine, and bread cubes in a bowl; toss gently. Add dressing, toss gently to coat. Top with chopped egg.""]","[""red wine vinegar"", ""torn romaine lettuce"", ""pepper"", ""eggs"", ""cheese"", ""italian bread"", ""garlic"", ""mustard"", ""olive oil"", ""salt""]",www.myrecipes.com/recipe/chicory-salad-with-creamy-garlic-dressing
Basta,"[""Mill the peanuts."", ""Melt butter and sugar, and mix in peanuts."", ""Brush 1 sheet phyllo with a little melted butter."", ""Add small blobs of peanut mix over the top half of the phyllo pastry."", ""Roll up the pastry into a sausage, starting from the nut covered end."", ""Repeat with all sheets of phyllo."", ""Bake for 40 minitess in oven at 220\u00b0C on baking sheet."", ""Put sugar, water and lemon in pan and boil until becomes syrupy."", ""Cut pastries into 2cm pieces, but leave them lying in their strips."", ""Cover in the sugar syrup."", ""When cool transfer onto some newspaper to absorb excess liquid."", ""Eat and enjoy.""]","[""lemon juice"", ""brown sugar"", ""pastry"", ""caster sugar"", ""boiling water"", ""ghee"", ""peanuts""]",www.food.com/recipe/basta-252659
Quick Tomato Macaroni,"[""Melt margarine in saucepan, and saute onions until translucent."", ""Add soup, water and cheese."", ""Cook on low until cheese is melted."", ""Mix hot cooked macaroni with above mixture and pour into buttered casserole dish I use 9x9 square pan, but 1 1/2 quart dish is called for in recipe."", ""Mix dry bread crumbs with melted margarine, and top casserole off."", ""Bake at 350 F 30 minutes (or until lightly browned).""]","[""macaroni"", ""cheddar cheese"", ""onion"", ""tomato soup"", ""water"", ""breadcrumbs"", ""margarine""]",www.food.com/recipe/quick-tomato-macaroni-89589
Pepperoni Pizza Omelet,"[""In a small bowl beat together eggs, milk, and Italian seasonings until well blended."", ""In a skillet over medium heat, melt butter."", ""Add eggs; as the eggs set lift edges so the rest of the eggs can cook."", ""When eggs are partially set, spread pizza sauce on half of the eggs."", ""Cover sauce with mozzarella cheese; cover cheese with pepperoni."", ""Place other half of omelet over pepperoni."", ""Remove from heat and let sit for a couple of minutes or until cheese is slightly melted.""]","[""pizza sauce"", ""italian seasoning"", ""eggs"", ""mozzarella cheese"", ""milk"", ""butter"", ""pepperoni""]",www.food.com/recipe/pepperoni-pizza-omelet-255682
Baked Crab Mac-n-Cheese,"[""Preheat oven to 375F."", ""Set a large pot of water on to boil."", ""Cook pasta for about 5 minutes or until the outside is cooked but the inside is underdone."", ""Drain and rinse, set aside."", ""Meanwhile, tear your bread into pieces, place in a food processor and process make bread crumbs."", ""Melt 1 Tablespoon of butter and toss with breadcrumbs in a small bowl."", ""Add parsley, garlic powder, Parmesan and 1 teaspoon of kosher salt to the crumbs and set aside."", ""In a small bowl mix the milk and cream together, set aside."", ""In a medium saucepan over medium heat, melt the remaining butter."", ""Whisk in the flour and cook for 1 minute."", ""Slowly whisk in the milk and cream until the mixture is smooth."", ""Continue to cook and stir until milk has thickened enough to coat the back of a spoon."", ""(Hey!"", ""You just made a Bechamel sauce!!!)"", ""Remove from the heat and stir in cayenne, old bay, mustard, and 1 teaspoon salt."", ""Stir in cheese until it has all melted."", ""Taste and add salt if necessary."", ""In a large bowl, stir pasta, cheese sauce and crab meat together well."", ""Using the wrapper from the butter, grease the bottom and sides of a 1.5 quart casserole dish."", ""Pour the mac-n-cheese into the dish."", ""Sprinkle the breadcrumbs on top."", ""Bake for 20-30 minutes or until top is browned and mac-n-cheese is bubbly.""]","[""bread"", ""cayenne"", ""milk"", ""cheddar"", ""parmesan cheese"", ""bay seasoning"", ""all-purpose"", ""crab meat"", ""pasta shells"", ""fontina cheese"", ""parsley"", ""kosher salt"", ""light cream"", ""garlic"", ""ground mustard"", ""unsalted butter""]",tastykitchen.com/recipes/main-courses/baked-crab-mac-n-cheese/
Tiramisu Layer Cake,"[""Preheat oven to 350 degrees F (175 degrees C). Grease and flour 3 (9 inch) pans."", ""Prepare the cake mix according to package directions. Divide two thirds of batter between 2 pans. Stir instant coffee into remaining batter; pour into remaining pan."", ""Bake in the preheated oven for 20 to 25 minutes, or until a toothpick inserted into the center of the cake comes out clean. Let cool in pan for 10 minutes, then turn out onto a wire rack and cool completely. In a measuring cup, combine brewed coffee and 1 tablespoon coffee liqueur; set aside."", ""To make the filling: In a small bowl, using an electric mixer set on low speed, combine mascarpone, 1/2 cup confectioners' sugar and 2 tablespoons coffee liqueur; beat just until smooth. Cover with plastic wrap and refrigerate."", ""To make the frosting: In a medium bowl, using an electric mixer set on medium-high speed, beat the cream, 1/4 cup confectioners' sugar and 2 tablespoons coffee liqueur until stiff. Fold 1/2 cup of cream mixture into filling mixture."", ""To assemble the cake: Place one plain cake layer on a serving plate. Using a thin skewer, poke holes in cake, about 1 inch apart. Pour one third of reserved coffee mixture over cake, then spread with half of the filling mixture. Top with coffee-flavored cake layer; poke holes in cake. Pour another third of the coffee mixture over the second layer and spread with the remaining filling. Top with remaining cake layer; poke holes in cake. Pour remaining coffee mixture on top. Spread sides and top of cake with frosting. Place cocoa in a sieve and lightly dust top of cake. Garnish with chocolate curls. Refrigerate at least 30 minutes before serving."", ""To make the chocolate curls, use a vegetable peeler and run it down the edge of the chocolate bar.""]","[""confectioners"", ""sugar"", ""heavy cream"", ""coffee"", ""white cake"", ""chocolate"", ""cake"", ""cocoa"", ""mascarpone cheese"", ""coffee powder""]",www.allrecipes.com/recipe/25639/tiramisu-layer-cake/
Vegetable Lasagna,"[""Cook noodles; drain and set aside."", ""Mix eggs, cottage and Ricotta cheese and seasoning."", ""Set aside."", ""Cook mushrooms, onions and garlic in butter until tender."", ""Stir in flour and pepper, then add milk."", ""Cook and stir until thick and bubbly."", ""Remove from heat and stir in spinach or broccoli, carrots and 1/2 cup Parmesan cheese."", ""In a 9 x 13-inch pan, layer 1/3 of noodles."", ""Spread 1/3 of cheese mixture over, then 1/3 of vegetable mixture."", ""Sprinkle with Mozzarella cheese."", ""Repeat these steps 2 more times."", ""Sprinkle with remaining Parmesan cheese."", ""Bake at 350\u00b0 for 35 minutes, covered."", ""This can also be made ahead of time and placed in the freezer until needed.""]","[""pepper"", ""italian seasoning"", ""milk"", ""noodles"", ""eggs"", ""parmesan cheese"", ""mozzarella cheese"", ""mushrooms"", ""onion"", ""flour"", ""clove garlic"", ""broccoli"", ""cottage cheese"", ""ricotta cheese"", ""carrot"", ""butter""]",www.cookbooks.com/Recipe-Details.aspx?id=1027955
Split Pea 'N Ham Soup,"[""Put all ingredients and 6 1/2 cups water in a 5 1/2-quart slow cooker."", ""Cover and cook on high for 6 hours, or low for 12 hours until peas are very soft and fall apart."", ""Remove ham."", ""When cool enough to handle, cut meat off the bone, dice and return to soup.""]","[""peas"", ""pepper"", ""ham hocks"", ""onion"", ""celery"", ""carrots"", ""salt""]",www.food.com/recipe/split-pea-n-ham-soup-112831
Spotted Dick,"[""Have ready a sheet of foil or a double thickness of greaseproof paper brushed with melted margarine."", ""Make the pudding crust: Sieve the flour and the salt."", ""Rub in the margarine."", ""Add the sugar and sultanas."", ""Mix in the water to make a soft dough."", ""Turn out onto a floured board and form into a roll."", ""Wrap loosely but securely in the greaseproof paper or foil. Tie or seal the ends."", ""Place in the steamer and cover tightly."", ""Steam for 1.1/2 to 2 hours."", ""Serve with hot custard sauce or sprinkle with castor sugar."", ""Variation: At stage 3: Put the mixture in a medium-sized (1.1/2 pint) pudding basin""]","[""sugar"", ""raisins"", ""water"", ""flour"", ""margarine"", ""salt""]",www.yummly.com/recipe/Spotted-Dick-1671365
Jerk Jackfruit Tacos,"[""Drain the jackfruit in a colander."", ""In a wide bowl, use a fork to pull the fibers apart. The jackfruit should have a texture reminiscent of pulled chicken."", ""Place the jackfruit and chopped red pepper in a large pot or skillet with a lid, and set aside."", ""Place the sauce ingredients (onion to bouillon) in a blender, and blend until it has become a smooth liquid."", ""Pour the sauce over the jackfruit, and stir to coat."", ""Place the pot on the stove, and bring contents to a simmer. Reduce heat to medium-low, cover the pot, and cook for 30 minutes."", ""While the jerk jackfruit is cooking, make your mango guacamole."", ""Place the guacamole ingredients in a mortar and pestle (or bowl and fork) and mash until your desired texture is reached. I like mine with some chunks in it. Set aside."", ""Serve the jerk jackfruit inside of warmed corn tortillas and topped with mango guacamole.""]","[""red bell peppers"", ""lime juice"", ""mangoes"", ""ginger"", ""coconut nectar"", ""fresh thyme"", ""nutmeg"", ""vegetable stock"", ""avocados"", ""mango"", ""green onions"", ""cilantro"", ""yellow onion"", ""apple cider vinegar"", ""ground allspice"", ""salt"", ""pepper"", ""black pepper"", ""garlic"", ""green jackfruit"", ""shoyu"", ""corn tortillas"", ""red onion""]",www.food.com/recipe/jerk-jackfruit-tacos-531877
